ID,Material,Vision Description Target,Project Idea,Difficulty,Time to Complete,Instructions
1,Coffee Grounds,"coffee grounds, wet brown powder, dirt-like powder, used espresso, dark organic waste",Eco-friendly Exfoliating Body Scrub (Var.450),Easy,8 minutes,"1. Collect 1 cup of completely cooled, used coffee grounds.
2. In a clean glass mixing bowl, combine the grounds with 1/2 cup of melted olive oil.
3. Add 1/4 cup of coarse raw cane sugar for extra exfoliation.
4. Optional: Add 5-10 drops of essential oil for fragrance.
5. Store the mixture in an airtight glass jar and use it in the shower to rejuvenate your skin."
2,Plastic Bottle,"plastic, soda bottle, green bottle, large plastic container, rigid plastic",Rustic Hanging Bird Feeder (Var.638),Easy,33 minutes,"1. Thoroughly clean and dry the plastic bottle.
2. Cut two small holes opposite each other near the bottom.
3. Push a wooden spoon through the holes to serve as a perch.
4. Cut a slightly larger hole directly above the perch so seeds can spill out.
5. Screw an eye hook into the plastic cap, fill with birdseed, and hang it outside on a branch."
3,CDs/DVDs,"cd, dvd, compact disc, shiny disc, optical disc, reflective circle",Rustic Iridescent Mosaic Coasters (Var.951),Intermediate,60 minutes,"1. Submerge the old CDs in boiling water for 3 minutes to soften the plastic.
2. Using heavy scissors, cut the softened disc into small, geometric mosaic tiles.
3. Take a blank wooden or cork coaster base and apply a thick layer of craft glue.
4. Arrange the shiny CD shards onto the coaster, leaving a small gap between each piece.
5. Once dry, fill the gaps with metallic gold paint filler and wipe the surface clean. Let it cure."
4,Glass Jar,"glass jar, mason jar, clear glass container, empty jam jar, transparent cylinder",Bespoke Desktop Terrarium (Var.448),Intermediate,59 minutes,"1. Clean the glass jar until it is sparkling clean.
2. Add a 1-inch layer of river pebbles for drainage at the very bottom.
3. Add a thin layer of activated charcoal to keep the water fresh and prevent mold.
4. Add 2-3 inches of rich potting soil.
5. Carefully plant small humidity-loving plants like Fern.
6. Mist lightly with a spray bottle and seal the jar tightly."
5,Plastic Bottle,"clear, plastic, empty, water bottle, crushed bottle, transparent plastic",Boho Self-Watering Planter (Var.474),Easy,29 minutes,"1. Cut the plastic bottle in half using utility scissors.
2. Invert the top half (with the cap off) and place it inside the bottom half.
3. Thread a piece of cotton string through the cap hole to act as a wick.
4. Fill the top half with soil and your Succulent.
5. Fill the bottom half with water. The string will pull water up to the soil!"
6,Old T-Shirt,"fabric, t-shirt, cotton shirt, old clothing, cloth, textile fabric",Upcycled No-Sew Produce Bag (Var.651),Intermediate,28 minutes,"1. Lay the t-shirt completely flat on a table and cut off the sleeves and the neckline.
2. Turn the shirt inside out and heavily fringe the bottom hem with scissors, tying opposite pairs tightly into double knots.
3. Turn the shirt right-side out to hide the knots inside.
4. Using scissors, cut small 1-inch horizontal slits all over the body, staggered like a brick pattern.
5. Stretch the bag forcefully to open up the slits, instantly creating a flexible mesh."
7,Old T-Shirt,"torn fabric, t-shirt, strips of cloth, cotton fabric, colorful shirt",Modern Braided Dog Tug Toy (Var.428),Easy,13 minutes,"1. Cut the old t-shirt vertically into long strips, exactly 1 to 2 inches wide.
2. Gather 3 thick strips together and tie an incredibly tight knot at one end.
3. Braid the three strips together as tightly as humanly possible.
4. Tie another extremely strong knot at the opposite end to seal the braid.
5. Trim the excess fabric past the knots to create fun tassels for your small dog."
8,Old T-Shirt,"torn fabric, t-shirt, strips of cloth, cotton fabric, colorful shirt",Modern Braided Dog Tug Toy (Var.260),Easy,19 minutes,"1. Cut the old t-shirt vertically into long strips, exactly 1 to 2 inches wide.
2. Gather 3 thick strips together and tie an incredibly tight knot at one end.
3. Braid the three strips together as tightly as humanly possible.
4. Tie another extremely strong knot at the opposite end to seal the braid.
5. Trim the excess fabric past the knots to create fun tassels for your small dog."
9,Plastic Bottle,"plastic, soda bottle, green bottle, large plastic container, rigid plastic",Modern Hanging Bird Feeder (Var.670),Easy,33 minutes,"1. Thoroughly clean and dry the plastic bottle.
2. Cut two small holes opposite each other near the bottom.
3. Push a sturdy twig through the holes to serve as a perch.
4. Cut a slightly larger hole directly above the perch so seeds can spill out.
5. Screw an eye hook into the plastic cap, fill with birdseed, and hang it outside on a branch."
10,Denim Jeans,"denim, blue jeans, torn jeans, fabric, blue cloth, heavy textile",Minimalist Pocket Wall Organizer (Var.140),Intermediate,49 minutes,"1. Using sharp fabric scissors, carefully cut the back pockets out of 3-4 pairs of old jeans, leaving a small denim border around each.
2. Take a large, sturdy base fabric (like canvas) and arrange the pockets in a grid layout.
3. Using a sewing machine or strong needle and thread, securely stitch three sides of every pocket onto the base fabric.
4. Feed a rigid bamboo skewer through a hem at the top of the canvas.
5. Hang the organizer on the wall to hold pens, scissors, or keys and wallets."
11,Old T-Shirt,"fabric, t-shirt, cotton shirt, old clothing, cloth, textile fabric",Bespoke No-Sew Produce Bag (Var.277),Intermediate,38 minutes,"1. Lay the t-shirt completely flat on a table and cut off the sleeves and the neckline.
2. Turn the shirt inside out and heavily fringe the bottom hem with scissors, tying opposite pairs tightly into double knots.
3. Turn the shirt right-side out to hide the knots inside.
4. Using scissors, cut small 1-inch horizontal slits all over the body, staggered like a brick pattern.
5. Stretch the bag forcefully to open up the slits, instantly creating a breathable mesh."
12,Newspaper,"paper, newspaper, newsprint, crumpled paper, torn pages, text printed paper",Handcrafted Paper Mache Decorative Bowl (Var.958),Intermediate,57 minutes,"1. Tear the newspaper cleanly into 1-inch wide vertical strips.
2. Mix 1 part white flour with 2 parts warm water to create a perfectly smooth paste.
3. Cover a glass or plastic bowl smoothly with plastic wrap (this will be your release mold).
4. Dip newspaper strips into the paste, squeegee off the excess with your fingers, and smoothly layer them over the outside of the bowl.
5. Apply exactly 4 varying layers. Let dry completely in a warm room for 24-48 hours, then pop the paper bowl off the mold and paint it vibrant yellow."
13,Glass Jar,"glass, jar, candle holder, transparent jar, empty pasta sauce jar",Chic Rustic Tealight Holder (Var.244),Easy,7 minutes,"1. Remove any sticky labels from the glass jar using warm soapy water and a sponge.
2. Wrap hemp cord tightly around the neck of the jar 3-4 times and tie a neat bow.
3. Optional: Hot glue small dried baby's breath to the wrapping for an aesthetic touch.
4. Place a standard tealight or small pillar candle inside the jar."
